timestamp;url;text;likes;replies;username
2018-07-05 11:19:00+00:00;https://twitter.com/Kemlu_RI/status/1014831243148443650;2.    Dr. Achmad Syahid dari UIN Syarif HIdayatullah Jakarta paparkan mengenai “Kurikulum Madrasah di Indonesia”. Prof. Dr. Tajul Arifin UIN Sunan Gunung Jati Bandung membagi pengalaman teaching-learning dan evolusi madrasah di Indonesia.;7;0;@Kemlu_RI
2018-07-26 15:17:00+00:00;https://twitter.com/Abshor17/status/1022501259037663233;"Presiden Jancukers @sudjiwotedjo mengilustrasikan pengertian ""Islam Nusantara"" lewat lagu di hadapan Menag RI @lukmansaifuddin Gus @RezaZahid1 dan Rektor IAIN Tulungagung dalam acara Mengaji Indonesia.

Cc @HSMastuki @PendisKemenag @iaintulungagung

pscp.tv/w/bincyTF4TlFhWXdSdk…";33;1;@Abshor17
2018-07-23 09:18:00+00:00;https://twitter.com/muhammadarista_/status/1021323782235930624;"Dalam kamus Aceh, ucapan “teurimong gaseh/teurimong geunaseh” bukan terjemahan dari kata ”terima kasih” dalam bahasa indonesia.  Kalimat “Terima kasih” dalam Kamus Aceh Kuno disebut “Alhamdulillah”.

—Drs. Nurdin AR, M.Hum (Dosen Filogi Fakultas Adab UIN Ar-Raniry)";11;3;@muhammadarista_
2018-07-29 03:16:00+00:00;https://twitter.com/Putra_PRP/status/1023406817781538817;"Konser Satu Hati
Untuk pesantren Indonesia pertama di Amerika, ada ustad @ShamsiAli2 (imam Masjid New York) pak @ganjarpranowo teh @melly_goeslaw 
Siapkan donasi terbaik
@NKRIForever @nyenyenggg @DDK_Gomals @HideiaFaza @PowerEmak @CakX6";11;0;@Putra_PRP
2018-07-15 07:24:00+00:00;https://twitter.com/Dr_Moeldoko/status/1018395900287201281;"Menghadiri undangan Halaqoh Ulama Nasional, Ikatan Pesantren Indonesia di Islamic Center Moeldoko, Bandar Kendung Mulyo Jombang, Jawa Timur, beberapa waktu yang lalu. Ketika para ulama berkumpul dan saya diundang untuk membuka acara tersebut.

#Moeldoko";75;2;@Dr_Moeldoko
2018-07-19 15:58:00+00:00;https://twitter.com/WartaNU/status/1019974715031486464;"""Disela-sela kunjungan saya di Indonesia, saya akan banyak belajar kepada Syaikh Said Aqil Siroj."" 
Ujar Syekh Ahmad Yakhlef Al-Maghribi (Mudir Ma'had Al-Fath, Maroko)";166;1;@WartaNU
2018-08-20 05:18:00+00:00;https://twitter.com/SerambiAzra/status/1031410192808730624;"3. Semua itu membuktikan bahwa sebagai negara dengan penduduk Muslim terbesar Indonesia bisa--tidak hanya menyelenggarakan Asian Games, tapi bahkan juga Olimpiade"" (Prof Azyumardi Azra, CBE; Rektor IAIN/UIN Syarif Hidayatullah Jakarta 1998-2006)";86;0;@SerambiAzra
2018-08-10 07:32:00+00:00;https://twitter.com/saidiman/status/1027819909630189568;Pemuda berkopiah dan berjaket merah di samping Jokowi itu adalah alumnus Ushuluddin IAIN Ciputat dan pondok pesantren Darul Arqam Garut. Santri tulen. Bersama Grace Natalie, dia memimpin Partai Solidaritas Indonesia (PSI). Mantap, bro @AntoniRaja.;707;107;@saidiman
2018-08-14 09:49:00+00:00;https://twitter.com/ganjarpranowo/status/1029303944152051712;Saya lagi di IAIN Solo. Bersama anak-anak hebat, anak-anak cerdas, yang akan memimpin negara kita kelak. Merekalah yang akan merawat Indonesia. Merekalah yang akan merawat Pancasila.… instagram.com/p/BmdG00cBgwK/…;46;2;@ganjarpranowo
2018-08-16 12:21:00+00:00;https://twitter.com/ziatuwel/status/1030067015707283456;"Sayyid Idrus bin Salim al-Jufri pendiri Yayasan Al-Khairat Palu adalah ulama nasionalis poros dakwah Indonesia bagian timur. Ribuan madrasah & pesantren ia dirikan. Thread ini rangkaian syair beliau saat kemerdekaan Indonesia diproklamasikan!

Cc: @Mahya_Official";19;1;@ziatuwel
2018-08-30 01:24:00+00:00;https://twitter.com/m_nurfatoni/status/1034975102440361985;"Dengan biaya besar, wajar Asian Games membuat Indonesia dikenal. 

Tapi, yang dilakukan madrasah di pelosok ini, hal kecil tapi bikin bule Rumania cinta Indonesia.

Kunjungi Madrasah di Desa Bule Rumania Ini Tertarik Belajar Menari 
@CakKhum
@zarazettirazr
pwmu.co/73505/08/30/kunjungi…";19;0;@m_nurfatoni
2018-08-18 08:30:00+00:00;https://twitter.com/GNFI/status/1030733569625190400;Sehari sebelum Kemerdekaan Republik Indonesia ke-73, Empat siswa Madrasah Tsanawiyah Negeri (MTs N) 1 Tangerang Selatan berhasil menjuarai pada International Youth Robot Competition (IYRC) di Beijing. goodnewsfromindonesia.id/201…;103;0;@GNFI
2018-08-18 00:47:00+00:00;https://twitter.com/Adung65A/status/1030617217296031744;"Yadi Mulyadi, pahlawan sepak bola U-16 yg juga santri pesantren di Purwakarta, semoga terus bersinar.
pwansorjabar.org/bintang-tim…
#KitaIniSama dukung atlet Indonesia @jokowi @imam_nahrawi @Official_Ansor";15;0;@Adung65A
2018-08-19 11:27:00+00:00;https://twitter.com/gpmk_/status/1031140635867152384;"GPMK hadir lagi melakukan gerakan"" kreatif dan tentunya utk menyebarluaskan pendidikan Anti Korupsi. Kali ini GPMK akan melanjutkan perjalanannya ke Pondok Pesantren yg ada di DIY.

GPMK GOES TO Pesantren Ulul Albab Balirejo
Dari Pesantren untuk Indonesia Anti Korupsi cc @KPK_RI";13;1;@gpmk_
